Facility ID,HAI_1_CILOWER,HAI_1_CIUPPER,HAI_1_DOPC,HAI_1_ELIGCASES,HAI_1_NUMERATOR,HAI_1_SIR_Score,HAI_2_CILOWER,HAI_2_CIUPPER,HAI_2_DOPC,HAI_2_ELIGCASES,HAI_2_NUMERATOR,HAI_2_SIR_Score,HAI_3_CILOWER,HAI_3_CIUPPER,HAI_3_DOPC,HAI_3_ELIGCASES,HAI_3_NUMERATOR,HAI_3_SIR_Score,HAI_4_CILOWER,HAI_4_CIUPPER,HAI_4_DOPC,HAI_4_ELIGCASES,HAI_4_NUMERATOR,HAI_4_SIR_Score,HAI_5_CILOWER,HAI_5_CIUPPER,HAI_5_DOPC,HAI_5_ELIGCASES,HAI_5_NUMERATOR,HAI_5_SIR_Score,HAI_6_CILOWER,HAI_6_CIUPPER,HAI_6_DOPC,HAI_6_ELIGCASES,HAI_6_NUMERATOR,HAI_6_SIR_Score,HAI_1_SIR_ComparedToNational,HAI_2_SIR_ComparedToNational,HAI_3_SIR_ComparedToNational,HAI_4_SIR_ComparedToNational,HAI_5_SIR_ComparedToNational,HAI_6_SIR_ComparedToNational,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Location,H_CLEAN_STAR_RATING,H_COMP_1_STAR_RATING,H_COMP_2_STAR_RATING,H_COMP_3_STAR_RATING,H_COMP_5_STAR_RATING,H_COMP_6_STAR_RATING,H_COMP_7_STAR_RATING,H_HSP_RATING_STAR_RATING,H_QUIET_STAR_RATING,H_RECMND_STAR_RATING,H_STAR_RATING,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR
010023,0.443,1.389,12400.0,14.691,12.0,0.817,0.78,1.547,16880.0,29.609,33.0,1.115,0.377,2.281,157.0,4.859,5.0,1.029,,,75.0,0.777,3.0,,0.714,2.686,88987.0,6.15,9.0,1.463,0.608,1.092,80840.0,54.628,45.0,0.824,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,No Different than National Benchmark,No Different than National Benchmark,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,(334) 288-2100,POINT (-86.276764 32.327144),3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,88.0,92.0,91.0,85.0,77.0,85.0,80.0,89.0,85.0,88.0,30.0,75.0,11.0,65.0,82.0
010024,0.51,2.085,8788.0,7.287,8.0,1.098,0.58,1.917,11491.0,9.971,11.0,1.103,0.01,0.99,178.0,4.984,1.0,0.201,,,76.0,0.714,0.0,,0.685,2.8,76656.0,5.426,8.0,1.474,0.544,1.047,73674.0,47.073,36.0,0.765,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,,No Different than National Benchmark,No Different than National Benchmark,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,(334) 293-8000,POINT (-86.285155 32.366606),2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,85.0,90.0,92.0,87.0,80.0,85.0,80.0,89.0,86.0,90.0,60.0,83.0,59.0,83.0,91.0
010029,,0.67,5514.0,4.471,0.0,0.0,0.008,0.823,7113.0,5.995,1.0,0.167,0.513,2.633,175.0,4.739,6.0,1.266,0.016,1.603,384.0,3.076,1.0,0.325,0.066,1.3,86426.0,5.083,2.0,0.393,0.362,0.752,81031.0,54.682,29.0,0.53,Better than the National Benchmark,Better than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,(334) 749-3411,POINT (-85.404003 32.638055),2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,86.0,93.0,94.0,86.0,80.0,86.0,82.0,90.0,89.0,90.0,73.0,93.0,76.0,86.0,94.0
010033,0.419,0.849,42863.0,51.185,31.0,0.606,0.333,0.62,44357.0,86.963,40.0,0.46,0.311,0.932,733.0,23.263,13.0,0.559,0.37,1.675,825.0,8.265,7.0,0.847,0.789,1.482,340183.0,35.618,39.0,1.095,0.375,0.55,292920.0,230.237,105.0,0.456,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 934-4011,POINT (-86.80192200000002 33.506129),2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,84.0,92.0,93.0,85.0,79.0,88.0,84.0,92.0,85.0,93.0,63.0,83.0,74.0,83.0,93.0
010034,,,31.0,0.018,0.0,,,,502.0,0.247,0.0,,,,2.0,0.059,0.0,,,,,,,,,,6531.0,0.146,0.0,,,1.208,6531.0,2.479,0.0,0.0,,,,,,No Different than National Benchmark,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,POINT (-85.911996 32.535293),2.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,86.0,90.0,91.0,87.0,86.0,84.0,81.0,86.0,84.0,83.0,,,,,
010035,,1.395,3117.0,2.147,0.0,0.0,0.142,1.52,7583.0,5.373,3.0,0.558,0.041,4.043,46.0,1.22,1.0,0.82,,,37.0,0.326,0.0,,0.036,3.582,31346.0,1.377,1.0,0.726,0.003,0.345,29939.0,14.312,1.0,0.07,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,No Different than National Benchmark,Better than the National Benchmark,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,(256) 737-2000,POINT (-86.805641 34.198587),3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,87.0,90.0,91.0,83.0,79.0,82.0,79.0,86.0,89.0,83.0,91.0,98.0,95.0,96.0,97.0
010036,,,28.0,0.018,0.0,,,2.621,2099.0,1.143,0.0,0.0,,,12.0,0.313,0.0,,,,2.0,0.02,0.0,,,,14434.0,0.532,1.0,,0.069,1.354,13480.0,4.88,2.0,0.41,,No Different than National Benchmark,,,,No Different than National Benchmark,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,(334) 222-8466,POINT (-86.495599 31.297462000000003),3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,87.0,89.0,89.0,82.0,75.0,84.0,77.0,85.0,83.0,82.0,56.0,82.0,,79.0,97.0
010038,,,884.0,0.576,1.0,,0.046,4.529,1822.0,1.089,1.0,0.918,,,11.0,0.321,0.0,,,,1.0,0.01,0.0,,,,11634.0,0.217,0.0,,,0.894,11634.0,3.351,0.0,0.0,,No Different than National Benchmark,,,,Better than the National Benchmark,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,(256) 235-8900,POINT (-85.825025 33.66770100000001),2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,86.0,91.0,92.0,81.0,77.0,86.0,81.0,87.0,90.0,86.0,57.0,88.0,,74.0,88.0
010039,0.52,1.257,21188.0,24.144,20.0,0.828,0.331,0.782,25100.0,40.355,21.0,0.52,0.363,1.198,591.0,15.956,11.0,0.689,0.007,0.711,790.0,6.937,1.0,0.144,0.879,1.875,264215.0,20.662,27.0,1.307,0.4,0.585,236600.0,220.268,107.0,0.486,No Different than National Benchmark,Better than the National Benchmark,No Different than National Benchmark,Better than the National Benchmark,No Different than National Benchmark,Better than the National Benchmark,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,(256) 265-1000,POINT (-86.581547 34.721226),3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,88.0,92.0,92.0,85.0,78.0,86.0,82.0,90.0,86.0,91.0,45.0,79.0,97.0,71.0,70.0
010040,0.344,2.082,6516.0,5.324,5.0,0.939,0.026,0.515,13031.0,12.823,2.0,0.156,,0.896,126.0,3.345,0.0,0.0,,,40.0,0.361,0.0,,0.301,2.286,64498.0,4.221,4.0,0.948,0.026,0.278,64498.0,29.405,3.0,0.102,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,,No Different than National Benchmark,Better than the National Benchmark,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,(256) 494-4000,POINT (-85.96752 34.009389),2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,86.0,91.0,90.0,81.0,75.0,86.0,80.0,86.0,85.0,85.0,59.0,84.0,98.0,79.0,83.0
010046,0.02,1.979,3612.0,2.492,1.0,0.401,,0.811,5156.0,3.694,0.0,0.0,0.041,4.086,44.0,1.207,1.0,0.829,,,3.0,0.019,0.0,,,,24294.0,0.909,1.0,,0.102,0.775,24294.0,12.455,4.0,0.321,No Different than National Benchmark,Better than the National Benchmark,No Different than National Benchmark,,,Better than the National Benchmark,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,(256) 543-5200,POINT (-86.004086 34.003811000000006),3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,89.0,91.0,90.0,86.0,75.0,86.0,80.0,87.0,83.0,88.0,81.0,93.0,,90.0,93.0
010049,,,462.0,0.283,1.0,,,2.951,1964.0,1.015,0.0,0.0,,,29.0,0.771,0.0,,,,107.0,0.978,2.0,,,,11081.0,0.427,1.0,,0.214,2.294,11056.0,3.559,3.0,0.843,,No Different than National Benchmark,,,,No Different than National Benchmark,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,(334) 347-0584,POINT (-85.855308 31.318191000000002),2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,85.0,92.0,93.0,84.0,78.0,83.0,81.0,87.0,86.0,85.0,93.0,100.0,,93.0,100.0
010055,0.011,1.123,5483.0,4.392,1.0,0.228,0.42,1.473,13329.0,12.104,10.0,0.826,0.022,2.144,88.0,2.3,1.0,0.435,,1.327,263.0,2.258,0.0,0.0,0.019,1.851,53510.0,2.665,1.0,0.375,0.182,0.685,53431.0,24.107,9.0,0.373,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,(334) 793-5000,POINT (-85.457937 31.235991),2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,84.0,92.0,91.0,84.0,80.0,86.0,82.0,88.0,86.0,89.0,64.0,83.0,85.0,87.0,91.0
010056,0.379,1.425,11874.0,11.594,9.0,0.776,0.241,0.984,15119.0,15.445,8.0,0.518,0.078,0.837,386.0,9.752,3.0,0.308,0.099,1.942,434.0,3.402,2.0,0.588,0.164,1.249,109719.0,7.728,4.0,0.518,0.28,0.545,93535.0,88.396,35.0,0.396,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,(205) 939-7000,POINT (-86.788755 33.508015),2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,86.0,92.0,93.0,87.0,81.0,89.0,84.0,90.0,86.0,92.0,,,,,
010058,,,152.0,0.101,0.0,,,,418.0,0.249,1.0,,,,,,,,,,,,,,,,3601.0,0.103,0.0,,0.289,5.701,3601.0,1.159,2.0,1.726,,,,,,No Different than National Benchmark,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,(205) 926-4881,POINT (-87.147865 32.951101),,,,,,,,,,,,,,,,,,,,,,,,,,
010061,,,647.0,0.398,0.0,,,,1485.0,0.812,1.0,,,,4.0,0.089,0.0,,,,16.0,0.182,0.0,,,,12249.0,0.402,0.0,,0.011,1.093,11900.0,4.514,1.0,0.222,,,,,,No Different than National Benchmark,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,(256) 259-4444,POINT (-86.047116 34.661254),2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,86.0,90.0,90.0,87.0,80.0,86.0,79.0,86.0,88.0,82.0,41.0,91.0,,55.0,94.0
010062,,,196.0,0.118,0.0,,,,588.0,0.305,0.0,,,,5.0,0.14,0.0,,,,2.0,0.021,0.0,,,,4357.0,0.078,0.0,,,2.258,4357.0,1.327,0.0,0.0,,,,,,No Different than National Benchmark,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,(334) 684-3655,POINT (-85.890837 31.048063000000003),1.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,81.0,93.0,95.0,86.0,85.0,92.0,84.0,87.0,76.0,87.0,43.0,,,71.0,57.0
010065,,,255.0,0.185,0.0,,,2.089,2465.0,1.434,0.0,0.0,,,11.0,0.281,0.0,,,,3.0,0.022,0.0,,,,5778.0,0.186,0.0,,,1.471,5778.0,2.036,0.0,0.0,,No Different than National Benchmark,,,,No Different than National Benchmark,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,(256) 329-7100,POINT (-85.968394 32.93103),4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,91.0,93.0,91.0,89.0,83.0,90.0,82.0,89.0,88.0,89.0,80.0,93.0,100.0,90.0,94.0
010069,,,241.0,0.148,0.0,,,,833.0,0.425,0.0,,,,4.0,0.137,0.0,,,,1.0,0.007,0.0,,,,3604.0,0.128,0.0,,0.037,3.61,3434.0,1.366,1.0,0.732,,,,,,No Different than National Benchmark,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,(334) 688-7271,POINT (-85.156613 31.88798),4.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,91.0,87.0,93.0,82.0,80.0,89.0,78.0,84.0,85.0,80.0,,,,,
010078,0.419,4.484,2572.0,1.821,3.0,1.647,0.474,2.867,5420.0,3.866,5.0,1.293,0.283,2.146,157.0,4.496,4.0,0.89,,1.774,175.0,1.689,0.0,0.0,0.504,3.824,55223.0,2.523,4.0,1.585,0.496,1.108,49973.0,31.751,24.0,0.756,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,(256) 235-5121,POINT (-85.823353 33.657123),1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,82.0,92.0,91.0,84.0,77.0,86.0,81.0,86.0,85.0,83.0,59.0,89.0,81.0,77.0,88.0
010079,,,1347.0,0.827,1.0,,0.425,4.546,3370.0,1.796,3.0,1.67,,2.704,41.0,1.108,0.0,0.0,,,45.0,0.487,1.0,,,,16233.0,0.829,0.0,,0.479,1.184,15407.0,24.591,19.0,0.773,,No Different than National Benchmark,No Different than National Benchmark,,,No Different than National Benchmark,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,(256) 233-9292,POINT (-86.977803 34.803499),3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,87.0,93.0,92.0,86.0,77.0,85.0,82.0,89.0,87.0,89.0,75.0,94.0,91.0,81.0,99.0
010083,,1.573,2212.0,1.905,0.0,0.0,0.015,1.498,3681.0,3.292,1.0,0.304,,,35.0,0.854,0.0,,,,2.0,0.016,0.0,,0.442,4.728,24719.0,1.727,3.0,1.737,0.137,0.703,24719.0,17.752,6.0,0.338,No Different than National Benchmark,No Different than National Benchmark,,,No Different than National Benchmark,Better than the National Benchmark,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,(251) 949-3400,POINT (-87.683187 30.426109),4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,91.0,94.0,92.0,89.0,82.0,85.0,83.0,91.0,88.0,89.0,78.0,92.0,65.0,90.0,96.0
010085,0.75,3.847,4029.0,3.244,6.0,1.85,0.21,1.272,10286.0,8.714,5.0,0.574,0.013,1.262,147.0,3.908,1.0,0.256,,,29.0,0.202,0.0,,0.274,2.934,45435.0,2.783,3.0,1.078,0.457,1.268,45435.0,19.081,15.0,0.786,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,No Different than National Benchmark,No Different than National Benchmark,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,(256) 341-2000,POINT (-86.972621 34.591168),3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,89.0,92.0,92.0,83.0,77.0,86.0,81.0,86.0,83.0,84.0,36.0,65.0,,69.0,78.0
010086,,,195.0,0.113,0.0,,,,621.0,0.306,0.0,,,,,,,,,,,,,,,,3389.0,0.116,0.0,,0.176,3.461,3389.0,1.909,2.0,1.048,,,,,,No Different than National Benchmark,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,(205) 487-7736,POINT (-87.82450700000001 33.929316),2.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,86.0,92.0,95.0,91.0,81.0,93.0,83.0,87.0,87.0,88.0,,,,,
